# purrism 0.9.0
PreferArrow.fan-out-shadowed-input	PreferArrow	Fan-out input shadowed in an inner scope	Both branches call `.run`/`.apply` with an argument spelled like the arrow's input, but the second resolves to a different binding, so under `&&&` the two Kleislis would no longer run on the same input.	Rename the inner binding so it no longer shadows the arrow's input, or pass the input explicitly; then re-run `<module>.fix`.	#preferarrow
PreferArrow.readability-budget	PreferArrow	Kleisli body declined by the readability budget	The body could be written point-free, but the rendered composition would read worse than the hand-threaded original, so the rule declined.	Leave the body as it is, or split it into named Kleislis whose composition stays readable; re-run `<module>.fix` to see whether the rule now rewrites it.	#preferarrow
PreferArrow.unrecognised-body	PreferArrow	Kleisli body the parser did not recognise	The body has no monadic spine the Arrow parser understands, so no point-free form was attempted; this is reported only under `PreferArrow.reportSkips`.	Compare the reported shape with the recognised entries in docs/ARROW_PATTERNS.md and restructure the body into a `for`/`flatMap` spine over the input, or leave it and turn `reportSkips` off.	#preferarrow
PreferCatsFunctions.ambiguous-cats-match	PreferCatsFunctions	Body matches more than one Cats function	The normalized body matches more than one public Cats function and ranking (public > in-scope > shortest) did not resolve a unique winner, so the rule did not rewrite.	Pick the Cats function you mean and call it directly, or narrow the body so only one matches; see docs/PREFER_CATS_FUNCTIONS.md §3-4 (D1), then compile.	#cats-expressions
PreferCatsFunctions.missing-typeclass-evidence	PreferCatsFunctions	Cats match needs typeclass evidence not in scope	The matching Cats function requires a typeclass constraint that is not derivable from the enclosing parameter list, so the rewrite would not compile.	Add the required typeclass constraint (for example a context bound) to the enclosing definition and re-run `<module>.fix`; see docs/PREFER_CATS_FUNCTIONS.md §3 (D3).	#cats-expressions
PreferCatsFunctions.private-cats-match	PreferCatsFunctions	Body matches only a private Cats symbol	The body matches only a private or internal Cats implementation detail with no public API of the same normalized shape, and the rule never rewrites to a non-public symbol.	Keep the body, or express it through a public Cats function; see docs/PREFER_CATS_FUNCTIONS.md §3 (D2).	#cats-expressions
PreferEffectIdioms.manual-resource	PreferEffectIdioms	Manual acquire/release in try/finally	A `finally` that closes a resource and does something else too cannot have the close lifted out mechanically, so the acquire/release stays invisible to the effect system.	Reduce the `finally` to the close alone so `Using.resource` applies, or move the body into `F` and wrap it in `Resource.make(acquire)(release)`; run `<module>.fix` again and compile.	#prefereffectidioms
PreferEffectIdioms.mutable-reference	PreferEffectIdioms	AtomicReference in effectful code	An `AtomicReference` threading state through an effectful body is a `cats.effect.Ref` in disguise, and rewriting it means lifting every use into `F`.	Replace the `AtomicReference` with a `Ref[F, A]` created once in the resource scope and update it through `Ref.update`/`modify`; then compile.	#prefereffectidioms
PreferEffectIdioms.unsafe-cast	PreferEffectIdioms	Unchecked asInstanceOf	An `asInstanceOf` is a claim the compiler cannot check, so a wrong one fails at runtime instead of at compile time.	Model the case in the type or pattern match on it, then compile to confirm the cast is gone.	#prefereffectidioms
PreferOptionIdioms.throwing-lookup	PreferOptionIdioms	Lookup that throws on a missing key	`getOrElse(key, throw ...)` is a partial lookup wearing a total signature, so the caller cannot see that the key may be absent.	Return `Option` from the lookup and let the caller decide what a missing key means; then compile and fix the call sites.	#preferoptionidioms
